qid,error_type,classifier_probability_hallucination,classifier_prediction,judge_label,human_binary_label,human_score,attribution,question,response,official_aliases_raw,official_aliases_normalized,notes
5506ce078e1671127b00000b,FP,0.759371,1,true,correct,exact_alias,detector_verbosity_bias,"Which protein phosphatase has been found to interact with the heat shock protein, HSP20?",PP1,Protein phosphatase 1 | PP1,protein phosphatase 1 | pp1,Direct abbreviation match to alias PP1.
5acf74460340b9f058000013,FP,0.758652,1,true,correct,exact_alias,detector_verbosity_bias,Which gene controls the consistency of cerumen (ear wax)?,ABCC11,ABCC11,abcc11,Direct gene-symbol answer.
63f03fc8f36125a426000021,FP,0.757104,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,What disease can be treated with Lenacapavir?,HIV,HIV-1,hiv 1,HIV is slightly broader than HIV-1 but still practically correct here.
6429ad3857b1c7a315000003,FP,0.754816,1,true,incorrect,incorrect,judge_side_label_error,"The X-inactive specific transcript (Xist) gene is responsible for mediating the X-chromosome inactivation in females, where one X-chromosome is silenced and transcriptionally inactivated. What does Xist encode?",RNA.,Long non-coding RNA | lncRNA | long non-coding (lnc) RNA | long noncoding RNA,long non coding rna | lncrna | long non coding lnc rna | long noncoding rna,RNA is too generic; the alias requires long non-coding RNA.
58bac71222d3005309000013,FP,0.746324,1,true,incorrect,incorrect,judge_side_label_error,Which histone mutation is associated with gliomas?,H3 K27M,K27M in H3.3,k27m in h3 3,Misses the H3.3 specificity in the alias.
623e02e0f0baec9a1b000005,FP,0.744926,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,What is the KDEL retention signal?,KDEL (Lys-Asp-Glu-Leu),ER retention sequence (KDEL),er retention sequence kdel,Defines the KDEL motif rather than naming its function only.
61f95f9f882a024a1000004e,FN,0.203043,0,false,incorrect,incorrect,detector_miss,Which disorder is caused by biallelic mutations in G-Protein coupled receptor kinase 1 (GRK1)?,Bardet-Biedl syndrome,Oguchi disease,oguchi disease,Wrong disease.
58f0b1d670f9fc6f0f000007,FN,0.218199,0,false,correct,acceptable_paraphrase,judge_side_label_error,What is a miR?,MicroRNA,MiRs are small (~23 nt) noncoding RNAs,mirs are small 23 nt noncoding rnas,MicroRNA is a faithful short answer to what a miR is.
554356d0ed966d112c000005,FN,0.221459,0,false,incorrect,incorrect,detector_miss,"Which is the most common measure of differences between dinucleotide relative abundance ""genomic signatures""",Jensen-Shannon Divergence,delta-distance,delta distance,Different metric than the alias.
58b6bd2622d300530900000c,FN,0.223768,0,false,incorrect,incorrect,detector_miss,Which ApoE isoform is associated with hyperlipoproteinemia?,ApoE4,ApoE2 isoform | Apolipoprotein E2 isoform,apoe2 isoform | apolipoprotein e2 isoform,Wrong ApoE isoform.
603534671cb411341a000153,FN,0.243770,0,false,incorrect,incorrect,detector_miss,What is the msDNA?,Mitochondrial DNA,"msDNA is actually a complex of DNA, RNA, and probably protein.",msdna is actually complex of dna rna and probably protein,Confuses msDNA with mitochondrial DNA.
5545e65bd355485447000001,FN,0.298811,0,false,incorrect,incorrect,detector_miss,Patients of which disease could be treated by utilizing knowledge obtained from experiments suppressing TDP-43 toxicity in yeast?,Alzheimer's disease,Amyotrophic lateral sclerosis (ALS),amyotrophic lateral sclerosis als,Wrong disease.
644ef78f57b1c7a315000084,FN,0.301263,0,false,incorrect,incorrect,detector_miss,Chromatin is tightly packed into what structure inside the nucleus?,Chromosome,Nucleosome,nucleosome,Chromosome is not the structure asked for.
63f0494cf36125a426000028,FN,0.306535,0,false,incorrect,incorrect,detector_miss,Which viral disease can be treated with EDP-938?,COVID-19,Respiratory Syncytial Virus,respiratory syncytial virus,Wrong viral disease.
56c1f02aef6e39474100004b,FN,0.315671,0,false,incorrect,incorrect,detector_miss,Which interleukin is blocked by Siltuximab?,IL-5,interleukin-6,interleukin 6,Wrong interleukin.
58a1c0f178275d0c4a000056,FN,0.316554,0,false,incorrect,incorrect,benchmark_alias_issue,When did the polio vaccine becomes available?,1955,1954,1954,"Response conflicts with the alias, but the benchmark year may reflect annotation ambiguity."
514a0a57d24251bc05000051,FN,0.316685,0,false,incorrect,incorrect,detector_miss,Which drug should be used as an antidote in benzodiazepine overdose?,Naloxone,flumazenil,flumazenil,Wrong antidote.
5319ac99b166e2b806000034,FN,0.319776,0,false,incorrect,incorrect,detector_miss,Which is the third subunit of the TSC1-TSC2 complex upstream of mTORC1?,TSC2,TBC1D7,tbc1d7,Wrong third subunit.
56ffdc1ccf1c32585100000b,FN,0.322080,0,false,incorrect,incorrect,detector_miss,Which is the most common editing modification in eukaryotic mRNA?,5′ capping,A-to-I,to i,Wrong mRNA editing modification.
5c5312097e3cb0e231000011,FN,0.327786,0,false,incorrect,incorrect,detector_miss,"Where, in what US state, was there a measles outbreak in an Amish community","Lancaster, Pennsylvania",Ohio,ohio,Question asks for state; response gives Pennsylvania instead of Ohio.
56c85ed65795f9a73e000012,FN,0.331810,0,false,correct,exact_alias,judge_side_label_error,Does dasatinib promote or inhibit T-cell proliferation?,Inhibition,inhibits,inhibits,Inhibition is a direct nominalisation of inhibits.
56c1f020ef6e394741000047,FN,0.346800,0,false,incorrect,incorrect,detector_miss,Which disorder is rated by Palmini classification?,Restless Legs Syndrome,focal cortical dysplasia,focal cortical dysplasia,Wrong disorder.
5313058de3eabad02100000e,FN,0.357959,0,false,incorrect,incorrect,detector_miss,Abnormality in which vertebral region is important in the Bertolotti's syndrome?,Sacral region,lumbosacral,lumbosacral,Sacral omits the lumbar part of lumbosacral.
58f3c4b970f9fc6f0f00000a,FN,0.358102,0,false,incorrect,incorrect,detector_miss,"What type of genome, (RNA or DNA, double stranded single stranded) is found in the the virus that causes blue tongue disease?",Double-stranded DNA,"double stranded, segmented RNA",double stranded segmented rna,Wrong genome type.
5c9a6693ecadf2e73f000031,FN,0.360883,0,false,incorrect,incorrect,detector_miss,What is a mitosome?,A mitosome (also known as an inner mitochondrial membrane folded into tubules),Simple and anaerobic mitochondria.,simple and anaerobic mitochondria,Description does not match the alias concept.
60527e8c94d57fd879000012,FN,0.362197,0,false,incorrect,incorrect,detector_miss,What is the most advanced phase of clinical trial that fingolimod has entered?,Phase III,phase IV,phase iv,Wrong clinical-trial phase.
